	D1	D2	D3	D4	D5	DF1	DF2	DF3	DF4	DF5	Y.K1	Y.K2	Y.K3	Y.K4	Y.K5	Y.M1	Y.M2	Y.M3	Y.M4	Y.M5	Y.J1	Y.J2	Y.J3	Y.J4	Y.J5	Y.U1	Y.U2	Y.U3	Y.U4	Y.U5	Z.K1	Z.K2	Z.K3	Z.K4	Z.K5	Z.M1	Z.M2	Z.M3	Z.M4	Z.M5	Z.J1	Z.J2	Z.J3	Z.J4	Z.J5	Z.U1	Z.U2	Z.U3	Z.U4	Z.U5
D1	0.0	0.17236372095728875	0.29222439765085084	0.31603445085504833	0.3656602624178672	0.12932478438434486	0.3444549294522121	0.27645288129699386	0.2999195432317923	0.40353740577750996	0.5781690056223483	0.5327656243134997	0.4616575919947816	0.6606427148509927	0.6513258984167897	0.4223942123780487	0.6518715688471639	0.6335763278763188	0.5623380006835507	0.6864439888823028	0.5331700328929665	0.5143538715650879	0.567787219305814	0.5724015329393647	0.5561249823042257	0.5427071847108055	0.4549542825313954	0.3687644475217242	0.6623725315161373	0.3908546674768293	0.6345567377644357	0.5800287466848553	0.5303254232800056	0.518495540071384	0.4797525377898468	0.27450735027064666	0.47454607737226323	0.36849059736576856	0.4198034662431084	0.6306376452020419	0.3313205912302609	0.3531182486066365	0.24742543920592744	0.2952636952685763	0.33989243376681794	0.2880489434992909	0.2703408840294101	0.28257936217855933	0.3793166447768009	0.469476715934912
D2	0.17236372095728875	0.0	0.3398989326870392	0.4020859097148326	0.40064359434713553	0.1945268772692002	0.24912761682736798	0.23551223719614284	0.336803029920675	0.5158721437149463	0.6801993221471923	0.6061504477750426	0.5639765182207601	0.7328606088112877	0.7338819857005106	0.47931712664310844	0.7733182094265174	0.7421722176844299	0.6733061387045943	0.7978587818096994	0.6593597004298356	0.6276844480618549	0.6811433576180657	0.6974813262510493	0.6827376755568066	0.6566472708623654	0.5569804782382586	0.4718319373571186	0.7700409578953772	0.5203508512952071	0.7277762782801476	0.6689793952744186	0.6086810477566932	0.6178181898223767	0.5649776051526375	0.37797772860916057	0.5816147321143506	0.47396049698442994	0.5319432043917187	0.7581238099000567	0.4377216588500567	0.45481494009013046	0.36121080630961433	0.4108430213111742	0.4522979922712422	0.4066364356170449	0.3706652296249859	0.39801160774571753	0.47180877380663644	0.5340978262865286
D3	0.29222439765085084	0.3398989326870392	0.0	0.2140761252234259	0.4342009348589052	0.26876249113797507	0.4447677406505389	0.37850386565618266	0.43202307187929656	0.31305020857402155	0.49265133132770855	0.590525152934742	0.4632021789841463	0.5979887622995179	0.5736095888549916	0.5064933127214123	0.5366883998218944	0.504498995137663	0.4393551579787578	0.5480925168669598	0.39015021796956895	0.3935998759917754	0.4926305125434487	0.4586550743197674	0.44405305541990925	0.4619655743027793	0.42550428647708444	0.34400225371211	0.5389441029572887	0.36085292017793535	0.5624030749513046	0.511516597277907	0.5655914091036869	0.44719679084775954	0.5588909495993477	0.2794434674001135	0.5563578281662791	0.31140073044265454	0.3182889347760352	0.5015577989477878	0.3307652050791833	0.45984509033888266	0.2879168942124788	0.2994400353357629	0.3993989932539138	0.3139082541600681	0.3117163394715258	0.32544364291557004	0.3719748836629324	0.4571632807481565
D4	0.31603445085504833	0.4020859097148326	0.2140761252234259	0.0	0.5179326045053033	0.2805453382987237	0.5424137444534883	0.4880802761563528	0.512995663725411	0.23088747022870115	0.4313729192447816	0.6550514988769995	0.5386490456936188	0.5563745628893648	0.5170681497927113	0.5778356358638399	0.5258253784229155	0.4680044976938174	0.395545189642683	0.5042171487080829	0.38848331179923434	0.43411391246715825	0.5690204121753262	0.4609796281105219	0.5103141992047079	0.5243699112197958	0.2981408509426546	0.28609104228454324	0.5084961521549632	0.4425559134131594	0.4921456080591321	0.5633544626827851	0.6281101964196254	0.4683171911325014	0.624143186279949	0.3473392952049347	0.6356750123285592	0.23529275629268298	0.24287467750076577	0.4393143639610607	0.3354666861143506	0.49601924918437323	0.3137493349171866	0.33843437549412936	0.4600414166849405	0.36439851601701634	0.2947710734625637	0.39709478156094724	0.25026117321914354	0.32256878709722064
D5	0.3656602624178672	0.40064359434713553	0.4342009348589052	0.5179326045053033	0.0	0.3982861683490641	0.3861127566522121	0.29381798376500273	0.2366328446717244	0.6018792662664493	0.7304021198734543	0.7000752789213273	0.5872031547019285	0.8450228402941576	0.8292770749443563	0.30714801004826997	0.6998926862286725	0.7042633165797787	0.6720097148091888	0.6966568426561542	0.4938184228757798	0.5778358095243619	0.6339786986800056	0.6269808573625637	0.5299458723402439	0.6000241872633862	0.7152045279809698	0.6439768717703347	0.7092294912826715	0.431496588872178	0.804172520221781	0.7613552344306296	0.707020744750624	0.6844777440669596	0.654119338702836	0.42436836948533746	0.5305794256174702	0.5750280227513046	0.5642525092526374	0.6579858605699942	0.5225768747880034	0.439209586371469	0.45476560599322174	0.395815332498355	0.4066321414754395	0.4543480825970788	0.5513418905376347	0.3834732552547362	0.6905623821930797	0.7643671667689449
DF1	0.12932478438434486	0.1945268772692002	0.26876249113797507	0.2805453382987237	0.3982861683490641	0.0	0.3790934531005387	0.3311980302888258	0.353986130379325	0.397571651419257	0.5733591652547362	0.5274259476365287	0.4661613018088486	0.6566529841256381	0.6494547810887124	0.4720052302529779	0.6689097545527792	0.6286861928759216	0.5621990545241633	0.6739207398222915	0.5197696584627907	0.5208123254016165	0.5712602063860748	0.5820167593406126	0.5594285273780205	0.5544223781982701	0.428544562400085	0.34605999419177547	0.6593691734703063	0.3945338704062677	0.6295376368212139	0.5773291483104934	0.5198041729930516	0.5167546530425128	0.47720721009716394	0.2663211557923709	0.5159148079466251	0.35292769804500845	0.3963217100829268	0.6327479568981849	0.322793828736954	0.3918473642344867	0.23677956734262617	0.2833856111575723	0.34151142343397617	0.3037516226648043	0.24370519320842324	0.2810354885460012	0.35676943982297216	0.4349322542914066
DF2	0.3444549294522121	0.24912761682736798	0.4447677406505389	0.5424137444534883	0.3861127566522121	0.3790934531005387	0.0	0.198987142107232	0.3234950647354511	0.6339403762684628	0.7818250872202213	0.6984350619701362	0.6485966544180658	0.8301496374924278	0.8409934445453489	0.5885243289690019	0.8523274827724334	0.854669207605502	0.7753672751853942	0.9131136824743336	0.7684663977456891	0.7219584995364152	0.762969765595122	0.7774686922070051	0.7999680129990925	0.7757171697537721	0.6721101132537721	0.5984989372726885	0.8418278749456041	0.6397788402102098	0.8331752737676403	0.775322040724362	0.7145712500508226	0.724960760547646	0.6684671272683778	0.5067776273493476	0.6899509780928248	0.5851210016575723	0.6763226537900453	0.8748794276217526	0.540184507048497	0.5290675706409246	0.5079643841225752	0.5481816622080828	0.5803378781695123	0.5267947498141804	0.481210465678219	0.5243254478619116	0.6033012578491492	0.6757225788524106
DF3	0.27645288129699386	0.23551223719614284	0.37850386565618266	0.4880802761563528	0.29381798376500273	0.3311980302888258	0.198987142107232	0.0	0.22308207014205886	0.5430558816101816	0.7077112268832105	0.6448142353401021	0.5660599139774249	0.7804510979182643	0.7662369715811118	0.4845409015861598	0.7522252552188033	0.7540740271574305	0.6656113344478163	0.8031702166883155	0.6595414415939308	0.5955756496222064	0.6588385273831253	0.667562777516506	0.6834870293191435	0.6649521650286161	0.6446058319210153	0.5650859466123086	0.760084162475865	0.5275830241226036	0.7721087538356212	0.7106053608127625	0.6594795930312818	0.6547136420635564	0.6042682712715258	0.4196790745345717	0.5891689702134998	0.5369193374030914	0.5881586031501419	0.7686162786087918	0.47959148910019855	0.44927517263828703	0.4104006909626488	0.4539579919255815	0.4979566682883153	0.43713424913633014	0.46166055317870125	0.4297579543082247	0.5712633818204198	0.6457218058686047
DF4	0.2999195432317923	0.336803029920675	0.43202307187929656	0.512995663725411	0.2366328446717244	0.353986130379325	0.3234950647354511	0.22308207014205886	0.0	0.5664897512267725	0.7120528432169881	0.6585271744535166	0.5641298814962846	0.8036731613167043	0.7914015138183492	0.4451191469007657	0.7487784799291547	0.7407060158861032	0.6653909841046795	0.7917970967611173	0.6138745849648042	0.5978557898136131	0.6649301683395348	0.6630698116518718	0.64593250824152	0.6366412353289845	0.6917726812621099	0.6141407925328133	0.7622456357654566	0.48566997394429934	0.7736758868971922	0.7177866830565229	0.6608122913207033	0.6537146270728302	0.6098084788354792	0.4134535635683494	0.5640500864531762	0.584292973371866	0.567675389873596	0.7314267528649743	0.5077492383802608	0.4530216730683776	0.38859591525297776	0.42501855927841736	0.4759341260763187	0.42428125468105493	0.5112301673153148	0.40454564835130447	0.6344891864777935	0.7260296025111173
DF5	0.40353740577750996	0.5158721437149463	0.31305020857402155	0.23088747022870115	0.6018792662664493	0.397571651419257	0.6339403762684628	0.5430558816101816	0.5664897512267725	0.0	0.30515613821715826	0.5497574835290697	0.4137603565059841	0.454179201466506	0.3924818612273681	0.6259311024933918	0.4690721539829269	0.43695346968536586	0.30543982242640383	0.4675464348341747	0.39678054233570614	0.3746553353220079	0.5070262050946683	0.3958823885480148	0.4988688907928531	0.503314686601418	0.3261393302452071	0.335203984813131	0.4714812928233693	0.42094780920005676	0.36931344821097567	0.4577790211152297	0.5355591043494612	0.3526031629102666	0.5216102921456892	0.3520054392380034	0.6113416611840896	0.2723420578610324	0.20948133809838346	0.4401269820447817	0.33490218978343733	0.4792773395957175	0.2976263774790698	0.351488525975468	0.4568407693068349	0.3235842107653999	0.3331602788671582	0.39283488424767443	0.27585838489605785	0.37482880815621095
